1;16102;3;0;-1;1.987;873;100;2016-05-03;2016-06-14;;Sin Grupo;Alison;GG;400 a 500
1;16102;4;0;-1;878;873;100;2016-05-03;2016-06-15;;Sin Grupo;Alison;GG;400 a 500
1;16102;4;0;-1;1.407;873;100;2016-05-03;2016-06-16;;Sin Grupo;Alison;GG;400 a 500
1;16102;3;0;-1;1.380;873;100;2016-05-04;2016-06-17;;Sin Grupo;Alison;GG;400 a 500
1;16103;1;0;-1;18.744;873;100;2016-06-10;2016-06-18;;Sin Grupo;Alison;GM;400 a 500
2;16103;1;0;-1;26.144;873;100;2016-06-13;2016-06-19;;Sin Grupo;Alison;GG;500 a 600
3;16103;1;0;-1;20.332;873;100;2016-06-18;2016-06-20;;Sin Grupo;Alison;GP;200 a 300
1;16103;2;0;-1;6.092;873;100;2016-06-22;2016-06-21;;Sin Grupo;Alison;GEP;200 a 300
2;16103;2;0;-1;19.780;873;100;2016-06-23;2016-06-22;;Sin Grupo;Alison;GG;500 a 600
3;16103;2;0;-1;13.924;873;100;2016-06-25;2016-06-23;;Sin Grupo;Alison;GP;300 a 400
2;16103;3;0;-1;31.667;873;100;2016-06-28;2016-06-24;;Sin Grupo;Alison;GG;500 a 600
3;16103;3;0;-1;20.258;873;100;2016-07-04;2016-06-25;;Sin Grupo;Alison;GP;300 a 400
1;16103;3;0;-1;21.694;873;100;2016-07-09;2016-06-26;;Sin Grupo;Alison;GM;400 a 500
1;16103;4;0;-1;6.208;873;100;2016-07-10;2016-06-27;;Sin Grupo;Alison;GEP;200 a 300
2;16103;4;0;-1;5.842;873;100;2016-07-18;2016-06-28;;Sin Grupo;Alison;GEP;900 A 1000
3;16103;5;0;-1;28.870;873;100;2016-07-21;2016-06-29;;Sin Grupo;Alison;GP;300 a 400
2;16103;5;0;-1;20.050;873;100;2016-07-26;2016-06-30;;Sin Grupo;Alison;GG;500 a 600
1;16103;5;0;-1;29.269;873;100;2016-08-03;2016-07-01;;Sin Grupo;Alison;GM;400 a 500
3;16103;6;0;-1;43.866;873;100;2016-08-22;2016-07-02;;Sin Grupo;Alison;GP;300 a 400
1;16103;6;0;-1;11.348;873;100;2016-08-27;2016-07-03;;Sin Grupo;Alison;GG;500 a 600
2;16103;6;0;-1;16.216;873;100;2016-08-31;2016-07-04;;Sin Grupo;Alison;GM;400 a 500
